track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,92,34,131,0,0,102,8.0,1,89,77,82,3,0,17,11,1,-2.0870081541502183,0.05888656159137332
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308,118,"4,534",2,77,120,8.0,1,42,33,26,92,0,13,3,3,3.839639183618658,0.8752662030911184
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,"12,367",4,160,117,1.0,1,52,73,91,0,0,11,7,1,-1.07594848892342,-1.672813975095647
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,118,116,96,0,3,168,1.0,1,67,29,47,5,0,22,26,0,0.6165740043024653,-0.1611903273426234
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22,3,0,0,0,94,1.0,1,52,68,69,13,0,33,8,1,-0.13281414075577272,-1.3968488091939284
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,0,145,8.0,1,41,65,88,0,0,26,5,1,-0.48275491048964453,-2.3222954222211953
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,114,15,63,0,2,134,1.0,1,71,14,61,1,0,23,33,0,0.09714276627671622,-0.09529383590370936
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,"5,063",2,120,148,1.0,1,35,24,93,0,0,10,8,1,0.3643103354098942,-2.6571171977718646
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,0,127,4.0,0,60,40,89,9,0,60,6,2,-0.9600993372827219,-2.370815399377731
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,93,5,67,1,0,172,6.0,0,74,79,66,11,0,8,16,2,-1.2831261653034287,0.6621733921727477
Streets,Doja Cat,1,2019,11,7,5728,0,865640097,85,87,179,0,12,90,11.0,1,75,19,46,21,4,34,8,3,1.0105205678409095,-0.03596362962611482
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368,155,"2,854",6,121,96,7.0,1,57,30,40,38,0,26,3,3,1.9073984685749623,-0.17320769023980281
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,10,56,17,0,0,138,7.0,0,74,65,67,46,0,36,4,2,-0.37901734862851966,-0.020508598444466095
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70,120,7.0,1,72,67,72,0,0,13,4,1,-0.9539909084904685,-0.6134993600452641
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,77,134,74,0,2,125,9.0,1,70,65,74,1,0,34,4,1,-0.9599480119790721,-1.2596319760291832
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,209,54,710,0,18,123,2.0,1,82,80,86,1,0,30,13,1,-2.0972582683272822,-0.9281293789601793
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,141,12,78,0,0,81,6.0,1,79,44,54,41,0,13,24,0,0.28325657926692394,1.554475621217732
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,1.0,1,55,10,85,7,0,8,20,1,0.2745463337542591,-1.4543395622020499
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,11.0,1,77,60,32,84,0,8,5,3,1.8131000176140832,2.2976453786204565
